level_0,index,reviewer,date,body,location,state,year,month,fast food outlet,neg,neu,pos,compound,sentiment,terms
90,90,cd,Nov. 25,felt like feedlot school lunch subway employees slapping sloppy work manager witch easy see employees like working would toast flat bread second longer normal subway ask tip wtf fast food asks tip, Salt Lake City,UT,2021,Nov.,Subway,0.153,0.655,0.192,0.1531,neutral,"['felt', 'like', 'feedlot', 'school', 'lunch', 'subway', 'employees', 'slapping', 'sloppy', 'work', 'manager', 'witch', 'easy', 'see', 'employees', 'like', 'working', 'would', 'toast', 'flat', 'bread', 'second', 'longer', 'normal', 'subway', 'ask', 'tip', 'wtf', 'fast', 'food', 'asks', 'tip']"
91,91,Adel,Nov. 13,flat bread italian bread pandemic hard rubbery people actually knew bake breads right gone bread really sucks subway way norman ok 311 12th ave se worst flat bread really hard pieces ends could damage tooth careful, Norman,OK,2021,Nov.,Subway,0.287,0.631,0.083,-0.855,negative,"['flat', 'bread', 'italian', 'bread', 'pandemic', 'hard', 'rubbery', 'people', 'actually', 'knew', 'bake', 'breads', 'right', 'gone', 'bread', 'really', 'sucks', 'subway', 'way', 'norman', 'ok', '311', '12th', 'ave', 'se', 'worst', 'flat', 'bread', 'really', 'hard', 'pieces', 'ends', 'could', 'damage', 'tooth', 'careful']"
92,92,Genevive,Nov. 11,went restaurant thinking nice dinner went inside get help order online order complete help guy shows abheshek turns evening experience restaurant upside guy doesnt care lose customer pointed yell upset promise share frustration bad handle experience toppings expensive matters gaining loyalty customer sad bad family never ever coming back, Newmarket,Other,2021,Nov.,Subway,0.246,0.455,0.299,0.2335,positive,"['went', 'restaurant', 'thinking', 'nice', 'dinner', 'went', 'inside', 'get', 'help', 'order', 'online', 'order', 'complete', 'help', 'guy', 'shows', 'abheshek', 'turns', 'evening', 'experience', 'restaurant', 'upside', 'guy', 'doesnt', 'care', 'lose', 'customer', 'pointed', 'yell', 'upset', 'promise', 'share', 'frustration', 'bad', 'handle', 'experience', 'toppings', 'expensive', 'matters', 'gaining', 'loyalty', 'customer', 'sad', 'bad', 'family', 'never', 'ever', 'coming', 'back']"
93,93,Rebecca,Nov. 9,tried tuna melt today yuck warm cheese melted bread tasted like microwave bread came thrown brown bag wrapped generally nasty dont eat, Cedaredge,CO,2021,Nov.,Subway,0.133,0.704,0.163,-0.0516,negative,"['tried', 'tuna', 'melt', 'today', 'yuck', 'warm', 'cheese', 'melted', 'bread', 'tasted', 'like', 'microwave', 'bread', 'came', 'thrown', 'brown', 'bag', 'wrapped', 'generally', 'nasty', 'dont', 'eat']"
94,94,James,Oct. 16,use eat subway 4 times week heard woman warned subway multiple occasions warned subway child molester jared spokesman since heard stopped eating subway life unfortunate subways franchises bad corporate gets cut enough quit eating subway life, North Fort Myers,FL,2021,Oct.,Subway,0.383,0.617,0.0,-0.9432,negative,"['use', 'eat', 'subway', '4', 'times', 'week', 'heard', 'woman', 'warned', 'subway', 'multiple', 'occasions', 'warned', 'subway', 'child', 'molester', 'jared', 'spokesman', 'since', 'heard', 'stopped', 'eating', 'subway', 'life', 'unfortunate', 'subways', 'franchises', 'bad', 'corporate', 'gets', 'cut', 'enough', 'quit', 'eating', 'subway', 'life']"
95,95,ELLE,Sept. 14,observe owner toast sub freaking starts sneezes place wasnt even wearing mask make matters worse takes sub toaster sets prep counter began ask toppings id want looked like owner didnt even excuse go wash hands change gloves wipe equipment blow snot best believe left nasty ass sub counter walked store woman doordashgrub hub driver sitting waiting pick order asked sneezed said sure didnt go wash hands called subway wanted get corporate office information file grievance owner tells employee say asked corporate information hung subway restaurant 3071 w shaw ave fresno ca 93711, Fresno,CA,2021,Sept.,Subway,0.158,0.738,0.104,-0.7859,negative,"['observe', 'owner', 'toast', 'sub', 'freaking', 'starts', 'sneezes', 'place', 'wasnt', 'even', 'wearing', 'mask', 'make', 'matters', 'worse', 'takes', 'sub', 'toaster', 'sets', 'prep', 'counter', 'began', 'ask', 'toppings', 'id', 'want', 'looked', 'like', 'owner', 'didnt', 'even', 'excuse', 'go', 'wash', 'hands', 'change', 'gloves', 'wipe', 'equipment', 'blow', 'snot', 'best', 'believe', 'left', 'nasty', 'ass', 'sub', 'counter', 'walked', 'store', 'woman', 'doordashgrub', 'hub', 'driver', 'sitting', 'waiting', 'pick', 'order', 'asked', 'sneezed', 'said', 'sure', 'didnt', 'go', 'wash', 'hands', 'called', 'subway', 'wanted', 'get', 'corporate', 'office', 'information', 'file', 'grievance', 'owner', 'tells', 'employee', 'say', 'asked', 'corporate', 'information', 'hung', 'subway', 'restaurant', '3071', 'w', 'shaw', 'ave', 'fresno', 'ca', '93711']"
96,96,Linda,Sept. 8,live tampa work st petersburg fl order subway every weekday lunch past month every order correct one reason another dont want able pick choose less dont give option dont follow special instructions asked cut tomatoes half dont special instructions nobrainer sent complaint email, Tampa,FL,2021,Sept.,Subway,0.209,0.791,0.0,-0.7928,negative,"['live', 'tampa', 'work', 'st', 'petersburg', 'fl', 'order', 'subway', 'every', 'weekday', 'lunch', 'past', 'month', 'every', 'order', 'correct', 'one', 'reason', 'another', 'dont', 'want', 'able', 'pick', 'choose', 'less', 'dont', 'give', 'option', 'dont', 'follow', 'special', 'instructions', 'asked', 'cut', 'tomatoes', 'half', 'dont', 'special', 'instructions', 'nobrainer', 'sent', 'complaint', 'email']"
97,97,Robert,Sept. 7,regular customer subway new italian bread like chewing cardboard bring back old bread keep option like eating cardboard bread like new coke really bad move, Rosenberg,TX,2021,Sept.,Subway,0.117,0.65,0.232,0.4033,positive,"['regular', 'customer', 'subway', 'new', 'italian', 'bread', 'like', 'chewing', 'cardboard', 'bring', 'back', 'old', 'bread', 'keep', 'option', 'like', 'eating', 'cardboard', 'bread', 'like', 'new', 'coke', 'really', 'bad', 'move']"
98,98,Nailuj,Sept. 6,higher prices scared put beef sub trying sub shops serve meat truly unhappy satisfied especially higher price less meat, Denver,CO,2021,Sept.,Subway,0.216,0.568,0.216,0.0,negative,"['higher', 'prices', 'scared', 'put', 'beef', 'sub', 'trying', 'sub', 'shops', 'serve', 'meat', 'truly', 'unhappy', 'satisfied', 'especially', 'higher', 'price', 'less', 'meat']"
99,99,natasha,Aug. 6,visited subways ws young killeen texas way home fly landing meat prepared expressed concern female dismissed continued customer line continued fan away fly young man acted request wrap sandwich quick fly land food female ignored bought food disgusted eat throw away got home need better, Killeen,TX,2021,Aug.,Subway,0.108,0.758,0.134,0.1027,neutral,"['visited', 'subways', 'ws', 'young', 'killeen', 'texas', 'way', 'home', 'fly', 'landing', 'meat', 'prepared', 'expressed', 'concern', 'female', 'dismissed', 'continued', 'customer', 'line', 'continued', 'fan', 'away', 'fly', 'young', 'man', 'acted', 'request', 'wrap', 'sandwich', 'quick', 'fly', 'land', 'food', 'female', 'ignored', 'bought', 'food', 'disgusted', 'eat', 'throw', 'away', 'got', 'home', 'need', 'better']"
100,100,cd,Nov. 25,felt like feedlot school lunch subway employees slapping sloppy work manager witch easy see employees like working would toast flat bread second longer normal subway ask tip wtf fast food asks tip, Salt Lake City,UT,2021,Nov.,Subway,0.153,0.655,0.192,0.1531,neutral,"['felt', 'like', 'feedlot', 'school', 'lunch', 'subway', 'employees', 'slapping', 'sloppy', 'work', 'manager', 'witch', 'easy', 'see', 'employees', 'like', 'working', 'would', 'toast', 'flat', 'bread', 'second', 'longer', 'normal', 'subway', 'ask', 'tip', 'wtf', 'fast', 'food', 'asks', 'tip']"
101,101,Adel,Nov. 13,flat bread italian bread pandemic hard rubbery people actually knew bake breads right gone bread really sucks subway way norman ok 311 12th ave se worst flat bread really hard pieces ends could damage tooth careful, Norman,OK,2021,Nov.,Subway,0.287,0.631,0.083,-0.855,negative,"['flat', 'bread', 'italian', 'bread', 'pandemic', 'hard', 'rubbery', 'people', 'actually', 'knew', 'bake', 'breads', 'right', 'gone', 'bread', 'really', 'sucks', 'subway', 'way', 'norman', 'ok', '311', '12th', 'ave', 'se', 'worst', 'flat', 'bread', 'really', 'hard', 'pieces', 'ends', 'could', 'damage', 'tooth', 'careful']"
102,102,Genevive,Nov. 11,went restaurant thinking nice dinner went inside get help order online order complete help guy shows abheshek turns evening experience restaurant upside guy doesnt care lose customer pointed yell upset promise share frustration bad handle experience toppings expensive matters gaining loyalty customer sad bad family never ever coming back, Newmarket,Other,2021,Nov.,Subway,0.246,0.455,0.299,0.2335,positive,"['went', 'restaurant', 'thinking', 'nice', 'dinner', 'went', 'inside', 'get', 'help', 'order', 'online', 'order', 'complete', 'help', 'guy', 'shows', 'abheshek', 'turns', 'evening', 'experience', 'restaurant', 'upside', 'guy', 'doesnt', 'care', 'lose', 'customer', 'pointed', 'yell', 'upset', 'promise', 'share', 'frustration', 'bad', 'handle', 'experience', 'toppings', 'expensive', 'matters', 'gaining', 'loyalty', 'customer', 'sad', 'bad', 'family', 'never', 'ever', 'coming', 'back']"
103,103,Rebecca,Nov. 9,tried tuna melt today yuck warm cheese melted bread tasted like microwave bread came thrown brown bag wrapped generally nasty dont eat, Cedaredge,CO,2021,Nov.,Subway,0.133,0.704,0.163,-0.0516,negative,"['tried', 'tuna', 'melt', 'today', 'yuck', 'warm', 'cheese', 'melted', 'bread', 'tasted', 'like', 'microwave', 'bread', 'came', 'thrown', 'brown', 'bag', 'wrapped', 'generally', 'nasty', 'dont', 'eat']"
104,104,James,Oct. 16,use eat subway 4 times week heard woman warned subway multiple occasions warned subway child molester jared spokesman since heard stopped eating subway life unfortunate subways franchises bad corporate gets cut enough quit eating subway life, North Fort Myers,FL,2021,Oct.,Subway,0.383,0.617,0.0,-0.9432,negative,"['use', 'eat', 'subway', '4', 'times', 'week', 'heard', 'woman', 'warned', 'subway', 'multiple', 'occasions', 'warned', 'subway', 'child', 'molester', 'jared', 'spokesman', 'since', 'heard', 'stopped', 'eating', 'subway', 'life', 'unfortunate', 'subways', 'franchises', 'bad', 'corporate', 'gets', 'cut', 'enough', 'quit', 'eating', 'subway', 'life']"
105,105,ELLE,Sept. 14,observe owner toast sub freaking starts sneezes place wasnt even wearing mask make matters worse takes sub toaster sets prep counter began ask toppings id want looked like owner didnt even excuse go wash hands change gloves wipe equipment blow snot best believe left nasty ass sub counter walked store woman doordashgrub hub driver sitting waiting pick order asked sneezed said sure didnt go wash hands called subway wanted get corporate office information file grievance owner tells employee say asked corporate information hung subway restaurant 3071 w shaw ave fresno ca 93711, Fresno,CA,2021,Sept.,Subway,0.158,0.738,0.104,-0.7859,negative,"['observe', 'owner', 'toast', 'sub', 'freaking', 'starts', 'sneezes', 'place', 'wasnt', 'even', 'wearing', 'mask', 'make', 'matters', 'worse', 'takes', 'sub', 'toaster', 'sets', 'prep', 'counter', 'began', 'ask', 'toppings', 'id', 'want', 'looked', 'like', 'owner', 'didnt', 'even', 'excuse', 'go', 'wash', 'hands', 'change', 'gloves', 'wipe', 'equipment', 'blow', 'snot', 'best', 'believe', 'left', 'nasty', 'ass', 'sub', 'counter', 'walked', 'store', 'woman', 'doordashgrub', 'hub', 'driver', 'sitting', 'waiting', 'pick', 'order', 'asked', 'sneezed', 'said', 'sure', 'didnt', 'go', 'wash', 'hands', 'called', 'subway', 'wanted', 'get', 'corporate', 'office', 'information', 'file', 'grievance', 'owner', 'tells', 'employee', 'say', 'asked', 'corporate', 'information', 'hung', 'subway', 'restaurant', '3071', 'w', 'shaw', 'ave', 'fresno', 'ca', '93711']"
106,106,Linda,Sept. 8,live tampa work st petersburg fl order subway every weekday lunch past month every order correct one reason another dont want able pick choose less dont give option dont follow special instructions asked cut tomatoes half dont special instructions nobrainer sent complaint email, Tampa,FL,2021,Sept.,Subway,0.209,0.791,0.0,-0.7928,negative,"['live', 'tampa', 'work', 'st', 'petersburg', 'fl', 'order', 'subway', 'every', 'weekday', 'lunch', 'past', 'month', 'every', 'order', 'correct', 'one', 'reason', 'another', 'dont', 'want', 'able', 'pick', 'choose', 'less', 'dont', 'give', 'option', 'dont', 'follow', 'special', 'instructions', 'asked', 'cut', 'tomatoes', 'half', 'dont', 'special', 'instructions', 'nobrainer', 'sent', 'complaint', 'email']"
107,107,Robert,Sept. 7,regular customer subway new italian bread like chewing cardboard bring back old bread keep option like eating cardboard bread like new coke really bad move, Rosenberg,TX,2021,Sept.,Subway,0.117,0.65,0.232,0.4033,positive,"['regular', 'customer', 'subway', 'new', 'italian', 'bread', 'like', 'chewing', 'cardboard', 'bring', 'back', 'old', 'bread', 'keep', 'option', 'like', 'eating', 'cardboard', 'bread', 'like', 'new', 'coke', 'really', 'bad', 'move']"
108,108,Nailuj,Sept. 6,higher prices scared put beef sub trying sub shops serve meat truly unhappy satisfied especially higher price less meat, Denver,CO,2021,Sept.,Subway,0.216,0.568,0.216,0.0,negative,"['higher', 'prices', 'scared', 'put', 'beef', 'sub', 'trying', 'sub', 'shops', 'serve', 'meat', 'truly', 'unhappy', 'satisfied', 'especially', 'higher', 'price', 'less', 'meat']"
109,109,natasha,Aug. 6,visited subways ws young killeen texas way home fly landing meat prepared expressed concern female dismissed continued customer line continued fan away fly young man acted request wrap sandwich quick fly land food female ignored bought food disgusted eat throw away got home need better, Killeen,TX,2021,Aug.,Subway,0.108,0.758,0.134,0.1027,neutral,"['visited', 'subways', 'ws', 'young', 'killeen', 'texas', 'way', 'home', 'fly', 'landing', 'meat', 'prepared', 'expressed', 'concern', 'female', 'dismissed', 'continued', 'customer', 'line', 'continued', 'fan', 'away', 'fly', 'young', 'man', 'acted', 'request', 'wrap', 'sandwich', 'quick', 'fly', 'land', 'food', 'female', 'ignored', 'bought', 'food', 'disgusted', 'eat', 'throw', 'away', 'got', 'home', 'need', 'better']"
110,110,Ariel,July 25,early morning july 25 2021 500 came store 18735 located 14401 dixie hwy miami fl 33176 witnessed big change customer service come almost every day early morning bitter experience almost daily store personnel treated like intruder like wifi store past even sealed literally electric outlets prevent people like keep laptop recharged today opened store time positive attitude, Miami,FL,2021,July,McDonalds,0.042,0.773,0.185,0.8126,positive,"['early', 'morning', 'july', '25', '2021', '500', 'came', 'store', '18735', 'located', '14401', 'dixie', 'hwy', 'miami', 'fl', '33176', 'witnessed', 'big', 'change', 'customer', 'service', 'come', 'almost', 'every', 'day', 'early', 'morning', 'bitter', 'experience', 'almost', 'daily', 'store', 'personnel', 'treated', 'like', 'intruder', 'like', 'wifi', 'store', 'past', 'even', 'sealed', 'literally', 'electric', 'outlets', 'prevent', 'people', 'like', 'keep', 'laptop', 'recharged', 'today', 'opened', 'store', 'time', 'positive', 'attitude']"
111,111,Andrew,July 22,really think buy breakfast anytime able get cheeseburger anytime especially since really dont care breakfast food really like mcdonalds food preferred tree lunch rather breakfast thank thank thank, Sandston,VA,2021,July,McDonalds,0.08,0.635,0.284,0.7496,positive,"['really', 'think', 'buy', 'breakfast', 'anytime', 'able', 'get', 'cheeseburger', 'anytime', 'especially', 'since', 'really', 'dont', 'care', 'breakfast', 'food', 'really', 'like', 'mcdonalds', 'food', 'preferred', 'tree', 'lunch', 'rather', 'breakfast', 'thank', 'thank', 'thank']"
112,112,Jonnie,July 4,stopped mcdonalds restaurant recently got sprite drink meal took 1 drink getting back interstate noticed tasted badreal bad thought maybe hadnt got drink like long time taste fine would better drinks even 10 min taste left mouth worsened got really sick dizzy throat burning, Saltville,VA,2021,July,McDonalds,0.284,0.633,0.083,-0.8881,negative,"['stopped', 'mcdonalds', 'restaurant', 'recently', 'got', 'sprite', 'drink', 'meal', 'took', '1', 'drink', 'getting', 'back', 'interstate', 'noticed', 'tasted', 'badreal', 'bad', 'thought', 'maybe', 'hadnt', 'got', 'drink', 'like', 'long', 'time', 'taste', 'fine', 'would', 'better', 'drinks', 'even', '10', 'min', 'taste', 'left', 'mouth', 'worsened', 'got', 'really', 'sick', 'dizzy', 'throat', 'burning']"
113,113,Rick,Dec. 12,seem experience egg shells breakfast sandwiches far often seems locations others think may aspiring chef cooks trying one handed egg breaks matter reason egg shells totally ruin good egg sandwich wish mcdonalds would address issue, Beaverlodge,AB,2020,Dec.,McDonalds,0.097,0.737,0.166,0.2228,positive,"['seem', 'experience', 'egg', 'shells', 'breakfast', 'sandwiches', 'far', 'often', 'seems', 'locations', 'others', 'think', 'may', 'aspiring', 'chef', 'cooks', 'trying', 'one', 'handed', 'egg', 'breaks', 'matter', 'reason', 'egg', 'shells', 'totally', 'ruin', 'good', 'egg', 'sandwich', 'wish', 'mcdonalds', 'would', 'address', 'issue']"
114,114,Donnie,Oct. 31,ive never gotten one orders right wasnt missing hamburgers fries raw meat go act like fault lol employees good top pay thats nothing run around 6 8 hrs like chicken head cut never eat mcdonalds thanks clogging organs arteries making blood thick throughout years pass like ketchup packs twos, Cincinnati,OH,2021,Oct.,McDonalds,0.136,0.598,0.266,0.8064,positive,"['ive', 'never', 'gotten', 'one', 'orders', 'right', 'wasnt', 'missing', 'hamburgers', 'fries', 'raw', 'meat', 'go', 'act', 'like', 'fault', 'lol', 'employees', 'good', 'top', 'pay', 'thats', 'nothing', 'run', 'around', '6', '8', 'hrs', 'like', 'chicken', 'head', 'cut', 'never', 'eat', 'mcdonalds', 'thanks', 'clogging', 'organs', 'arteries', 'making', 'blood', 'thick', 'throughout', 'years', 'pass', 'like', 'ketchup', 'packs', 'twos']"
115,115,Natalie,Oct. 26,used want go restaurants eat general ive seen ones good choice ones bad review mcdonalds mcdonalds play lot people eat one almost everywhere go realize bad beef patties formed ground beef factory flash frozen sent mcdonalds restaurants served patties seasoned salt pepper grilled 40 seconds according video mcdonalds australia fries overly packed things dont even need french fry, Grand Rapids,MI,2021,Oct.,McDonalds,0.105,0.796,0.099,-0.34,negative,"['used', 'want', 'go', 'restaurants', 'eat', 'general', 'ive', 'seen', 'ones', 'good', 'choice', 'ones', 'bad', 'review', 'mcdonalds', 'mcdonalds', 'play', 'lot', 'people', 'eat', 'one', 'almost', 'everywhere', 'go', 'realize', 'bad', 'beef', 'patties', 'formed', 'ground', 'beef', 'factory', 'flash', 'frozen', 'sent', 'mcdonalds', 'restaurants', 'served', 'patties', 'seasoned', 'salt', 'pepper', 'grilled', '40', 'seconds', 'according', 'video', 'mcdonalds', 'australia', 'fries', 'overly', 'packed', 'things', 'dont', 'even', 'need', 'french', 'fry']"
116,116,Jack,Sept. 29,prices menu drive lady takes order cannot speak english well cannot get order right understand say charges large order medium cannot understand mcdonalds would let happen issue rectified never eat mcdonalds, Sherman,TX,2021,Sept.,McDonalds,0.119,0.881,0.0,-0.443,negative,"['prices', 'menu', 'drive', 'lady', 'takes', 'order', 'cannot', 'speak', 'english', 'well', 'cannot', 'get', 'order', 'right', 'understand', 'say', 'charges', 'large', 'order', 'medium', 'cannot', 'understand', 'mcdonalds', 'would', 'let', 'happen', 'issue', 'rectified', 'never', 'eat', 'mcdonalds']"
117,117,Shreeram,Sept. 24,ordered oreo mocha paid wait 30 40 mins told oreo mocha finished gave refund ordered hot fudge sundae satisfied service wait long time get paid would recommend anybody go, Singapore,Other,2021,Sept.,McDonalds,0.0,0.836,0.164,0.6486,positive,"['ordered', 'oreo', 'mocha', 'paid', 'wait', '30', '40', 'mins', 'told', 'oreo', 'mocha', 'finished', 'gave', 'refund', 'ordered', 'hot', 'fudge', 'sundae', 'satisfied', 'service', 'wait', 'long', 'time', 'get', 'paid', 'would', 'recommend', 'anybody', 'go']"
118,118,Gy,Sept. 22,bad decision experience order store manager day blocked whatsapp instead handling issue least putting contact someone shift delivered order missing item paid told deliver back around 9 pm 22 hours half contacted manager texting whatsapp unprofessional duty asked bill couldnt find system also unprofessional put reason 3 hours dont gas 2 drivers time order nearby deliver also ignorant disrespectful unprofessional maximum, Adma,Other,2021,Sept.,McDonalds,0.268,0.732,0.0,-0.9571,negative,"['bad', 'decision', 'experience', 'order', 'store', 'manager', 'day', 'blocked', 'whatsapp', 'instead', 'handling', 'issue', 'least', 'putting', 'contact', 'someone', 'shift', 'delivered', 'order', 'missing', 'item', 'paid', 'told', 'deliver', 'back', 'around', '9', 'pm', '22', 'hours', 'half', 'contacted', 'manager', 'texting', 'whatsapp', 'unprofessional', 'duty', 'asked', 'bill', 'couldnt', 'find', 'system', 'also', 'unprofessional', 'put', 'reason', '3', 'hours', 'dont', 'gas', '2', 'drivers', 'time', 'order', 'nearby', 'deliver', 'also', 'ignorant', 'disrespectful', 'unprofessional', 'maximum']"
119,119,Tiffany,Sept. 4,went mcdonalds drive thru ordered 1500 worth breakfast food included pancakes receive syrup checked pulled away since already checked saw food correct like mindful time window come back around thru drive thru spend unnecessary time get syrup already bag ask syrup hands one problem arise number one always get two im assuming yall hand two three pancakes one syrup mam im south need syrup ok let get back track says oh well 33 cents insert air quotes hand dollar say sure give two like ok wait 5 mins syrup im like im running yall time, Baker,LA,2021,Sept.,McDonalds,0.024,0.744,0.232,0.9595,positive,"['went', 'mcdonalds', 'drive', 'thru', 'ordered', '1500', 'worth', 'breakfast', 'food', 'included', 'pancakes', 'receive', 'syrup', 'checked', 'pulled', 'away', 'since', 'already', 'checked', 'saw', 'food', 'correct', 'like', 'mindful', 'time', 'window', 'come', 'back', 'around', 'thru', 'drive', 'thru', 'spend', 'unnecessary', 'time', 'get', 'syrup', 'already', 'bag', 'ask', 'syrup', 'hands', 'one', 'problem', 'arise', 'number', 'one', 'always', 'get', 'two', 'im', 'assuming', 'yall', 'hand', 'two', 'three', 'pancakes', 'one', 'syrup', 'mam', 'im', 'south', 'need', 'syrup', 'ok', 'let', 'get', 'back', 'track', 'says', 'oh', 'well', '33', 'cents', 'insert', 'air', 'quotes', 'hand', 'dollar', 'say', 'sure', 'give', 'two', 'like', 'ok', 'wait', '5', 'mins', 'syrup', 'im', 'like', 'im', 'running', 'yall', 'time']"
120,120,Ariel,July 25,early morning july 25 2021 500 came store 18735 located 14401 dixie hwy miami fl 33176 witnessed big change customer service come almost every day early morning bitter experience almost daily store personnel treated like intruder like wifi store past even sealed literally electric outlets prevent people like keep laptop recharged today opened store time positive attitude, Miami,FL,2021,July,McDonalds,0.042,0.773,0.185,0.8126,positive,"['early', 'morning', 'july', '25', '2021', '500', 'came', 'store', '18735', 'located', '14401', 'dixie', 'hwy', 'miami', 'fl', '33176', 'witnessed', 'big', 'change', 'customer', 'service', 'come', 'almost', 'every', 'day', 'early', 'morning', 'bitter', 'experience', 'almost', 'daily', 'store', 'personnel', 'treated', 'like', 'intruder', 'like', 'wifi', 'store', 'past', 'even', 'sealed', 'literally', 'electric', 'outlets', 'prevent', 'people', 'like', 'keep', 'laptop', 'recharged', 'today', 'opened', 'store', 'time', 'positive', 'attitude']"
121,121,Andrew,July 22,really think buy breakfast anytime able get cheeseburger anytime especially since really dont care breakfast food really like mcdonalds food preferred tree lunch rather breakfast thank thank thank, Sandston,VA,2021,July,McDonalds,0.08,0.635,0.284,0.7496,positive,"['really', 'think', 'buy', 'breakfast', 'anytime', 'able', 'get', 'cheeseburger', 'anytime', 'especially', 'since', 'really', 'dont', 'care', 'breakfast', 'food', 'really', 'like', 'mcdonalds', 'food', 'preferred', 'tree', 'lunch', 'rather', 'breakfast', 'thank', 'thank', 'thank']"
122,122,Jonnie,July 4,stopped mcdonalds restaurant recently got sprite drink meal took 1 drink getting back interstate noticed tasted badreal bad thought maybe hadnt got drink like long time taste fine would better drinks even 10 min taste left mouth worsened got really sick dizzy throat burning, Saltville,VA,2021,July,McDonalds,0.284,0.633,0.083,-0.8881,negative,"['stopped', 'mcdonalds', 'restaurant', 'recently', 'got', 'sprite', 'drink', 'meal', 'took', '1', 'drink', 'getting', 'back', 'interstate', 'noticed', 'tasted', 'badreal', 'bad', 'thought', 'maybe', 'hadnt', 'got', 'drink', 'like', 'long', 'time', 'taste', 'fine', 'would', 'better', 'drinks', 'even', '10', 'min', 'taste', 'left', 'mouth', 'worsened', 'got', 'really', 'sick', 'dizzy', 'throat', 'burning']"
123,123,Rick,Dec. 12,seem experience egg shells breakfast sandwiches far often seems locations others think may aspiring chef cooks trying one handed egg breaks matter reason egg shells totally ruin good egg sandwich wish mcdonalds would address issue, Beaverlodge,AB,2020,Dec.,McDonalds,0.097,0.737,0.166,0.2228,positive,"['seem', 'experience', 'egg', 'shells', 'breakfast', 'sandwiches', 'far', 'often', 'seems', 'locations', 'others', 'think', 'may', 'aspiring', 'chef', 'cooks', 'trying', 'one', 'handed', 'egg', 'breaks', 'matter', 'reason', 'egg', 'shells', 'totally', 'ruin', 'good', 'egg', 'sandwich', 'wish', 'mcdonalds', 'would', 'address', 'issue']"
124,124,Donnie,Oct. 31,ive never gotten one orders right wasnt missing hamburgers fries raw meat go act like fault lol employees good top pay thats nothing run around 6 8 hrs like chicken head cut never eat mcdonalds thanks clogging organs arteries making blood thick throughout years pass like ketchup packs twos, Cincinnati,OH,2021,Oct.,McDonalds,0.136,0.598,0.266,0.8064,positive,"['ive', 'never', 'gotten', 'one', 'orders', 'right', 'wasnt', 'missing', 'hamburgers', 'fries', 'raw', 'meat', 'go', 'act', 'like', 'fault', 'lol', 'employees', 'good', 'top', 'pay', 'thats', 'nothing', 'run', 'around', '6', '8', 'hrs', 'like', 'chicken', 'head', 'cut', 'never', 'eat', 'mcdonalds', 'thanks', 'clogging', 'organs', 'arteries', 'making', 'blood', 'thick', 'throughout', 'years', 'pass', 'like', 'ketchup', 'packs', 'twos']"
125,125,Natalie,Oct. 26,used want go restaurants eat general ive seen ones good choice ones bad review mcdonalds mcdonalds play lot people eat one almost everywhere go realize bad beef patties formed ground beef factory flash frozen sent mcdonalds restaurants served patties seasoned salt pepper grilled 40 seconds according video mcdonalds australia fries overly packed things dont even need french fry, Grand Rapids,MI,2021,Oct.,McDonalds,0.105,0.796,0.099,-0.34,negative,"['used', 'want', 'go', 'restaurants', 'eat', 'general', 'ive', 'seen', 'ones', 'good', 'choice', 'ones', 'bad', 'review', 'mcdonalds', 'mcdonalds', 'play', 'lot', 'people', 'eat', 'one', 'almost', 'everywhere', 'go', 'realize', 'bad', 'beef', 'patties', 'formed', 'ground', 'beef', 'factory', 'flash', 'frozen', 'sent', 'mcdonalds', 'restaurants', 'served', 'patties', 'seasoned', 'salt', 'pepper', 'grilled', '40', 'seconds', 'according', 'video', 'mcdonalds', 'australia', 'fries', 'overly', 'packed', 'things', 'dont', 'even', 'need', 'french', 'fry']"
126,126,Jack,Sept. 29,prices menu drive lady takes order cannot speak english well cannot get order right understand say charges large order medium cannot understand mcdonalds would let happen issue rectified never eat mcdonalds, Sherman,TX,2021,Sept.,McDonalds,0.119,0.881,0.0,-0.443,negative,"['prices', 'menu', 'drive', 'lady', 'takes', 'order', 'cannot', 'speak', 'english', 'well', 'cannot', 'get', 'order', 'right', 'understand', 'say', 'charges', 'large', 'order', 'medium', 'cannot', 'understand', 'mcdonalds', 'would', 'let', 'happen', 'issue', 'rectified', 'never', 'eat', 'mcdonalds']"
127,127,Shreeram,Sept. 24,ordered oreo mocha paid wait 30 40 mins told oreo mocha finished gave refund ordered hot fudge sundae satisfied service wait long time get paid would recommend anybody go, Singapore,Other,2021,Sept.,McDonalds,0.0,0.836,0.164,0.6486,positive,"['ordered', 'oreo', 'mocha', 'paid', 'wait', '30', '40', 'mins', 'told', 'oreo', 'mocha', 'finished', 'gave', 'refund', 'ordered', 'hot', 'fudge', 'sundae', 'satisfied', 'service', 'wait', 'long', 'time', 'get', 'paid', 'would', 'recommend', 'anybody', 'go']"
